Animal #,Genotype,Trial #,Number of Steps,Missteps Total ,Front Right ,Front Left ,Back Right,Back Left ,Time to Cross (seconds),Notes,Walking,Run,Pattern
1,VIN,250702_VIN_1239CC_L1T_Ladder_v4,48,5,2,0,1,2,12,"stopping constantly throughout the entire run, did not make it through entire run before crawling under the ladder, trying to turn around and run backwards, seems to be unaffected by sticked when poked and even fights against it, tail angle was very high and also very low  ",2,Rand2,
2,VIN,250702_VIN_1239CC_R1M_Ladder_v5,53,4,0,2,2,0,13,"stopping for long periods of time, tail is curving towards the rungs and the mouse is very skeptical to walk forward, once it gets towards the end it stops a lot ",2,Normal,
2,VIN,250702_VIN_1239CC_R1M_Ladder_v6,57,4,1,0,3,0,14,"long stops, very skeptical about the rungs ahead, and using back legs on the glass ",2,Every,
2,VIN,250702_VIN_1239CC_R1M_Ladder_v7,68,3,1,0,1,1,21,"very long stops especially at the beginning would not move unless prodded, was responsive to prods, the lower the tails are to the rungs the more responsive they are to poking, tail was very low during entire run",2,Rand1,
2,VIN,250702_VIN_1239CC_R1M_Ladder_v8,67,1,0,1,0,0,16,"very long stops throughout the run, smelling around the ladder a lot, only responsive and walking when prodded by the stick",2,Rand2,
3,VIN,250702_VIN_1251C_L1T_Ladder_v9,68,3,0,0,1,2,15,"stopping for long periods of time, trying to walk backwards, and using its back feet on the glass to push itself. ",2,Normal,
3,VIN,250702_VIN_1251C_L1T_Ladder_v10,60,7,3,0,3,1,16,"stopping a lot for medium periods of time. Even though tail is low there are a lot of obvious slips especially in the front paws, lots of sniffing and trying to crawl under the rungs ",2,Every,
3,VIN,250702_VIN_1251C_L1T_Ladder_v11,56,2,0,1,1,0,16,"a lot of long stops throughout the run, did not want to move forward on the ladder due to maybe being picked up or not wanting to fall, tail was at a very high angle for most of the run close to 90 degrees",2,Rand1,
3,VIN,250702_VIN_1251C_L1T_Ladder_v12,48,0,0,0,0,0,10,"long stops across the laddrr, tail at a very high degree even coming over the back of the mouse at times, when prodded with the stick jumped across the ladder ",2,Rand2,
4,VIN,250702_VIN_1251C_R1M_Ladder_v13,53,5,2,0,2,1,14,"very smooth walk across the entire ladder, did not stop but did not move across the ladder at a very fast pace. Tail stayed at same medium angle the entire way across the ladder",0,Normal,
4,VIN,250702_VIN_1251C_R1M_Ladder_v14,53,5,1,1,1,2,12,"also a very smooth walk across the ladder even though it was not very fast the mouse did not stop, no major observations ",0,Every,
4,VIN,250702_VIN_1251C_R1M_Ladder_v15,60,9,1,4,2,2,18,"stopping for long periods of time going across the ladder, tail was at a very high angle over the head of the mouse at times. No major observations other then the mouse looked scared to move forward and was skeptical about the rungs. Also the mice always stops towards the end. ",2,Rand1,
4,VIN,250702_VIN_1251C_R1M_Ladder_v16,58,3,0,0,1,2,17,"stopping across the ladder but not for long periods of time, tail was not low but also not high maybe at a 50 degree angle, also stopped at the end of the ladder again ",1,Rand2,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,AVERAGE OF TOTALS,56.0625,4.0625,0.9375,0.6875,1.375,1.0625,14.375,,,,
